0V6EabUkAlPY7WmRe7cHD5 2Pfv2w8a20xzC7Dr7QXRqM 	Bullet For My Valentine - Hand Of Blood 		bo NFS
0V6EabUkAlPY7WmRe7cHD5 0nmQIMXWTXfhgOBdNzhGOs	Avenged 				NFS
0V6EabUkAlPY7WmRe7cHD5 0Zy4ncr8h1jd7Nzr9946fD	Killing Joke      		NFS
0V6EabUkAlPY7WmRe7cHD5 7iWiAD5LLKyiox2grgfmUT	Bullet For My Valentin	NFS
0V6EabUkAlPY7WmRe7cHD5 3TOqt5oJwL9BE2NG9MEwDa	Disturbed             	NFS
0V6EabUkAlPY7WmRe7cHD5 6Wr3hh341P84m3EI8qdn9O	Rise Against          	NFS
54HHVAXAn6r1Xh37982vbP 6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran           	Filmowe 	
54HHVAXAn6r1Xh37982vbP 0YC192cP3KPCRWx8zr8MfZ	Hans Zimmer           	Filmowe
54HHVAXAn6r1Xh37982vbP 07vycW8ICLf5hKb22PFWXw	Marcin Przybyłowicz   	Filmowe
3R0V8YOD1GJ4rY9RZYB4iD 2wPOgnQ6eW3X73uIJZ4YFE	Faun                  	on playlists: {'3R0V8YOD1GJ4rY9RZYB4iD': 'Eluveitie             ', '7lkL0wHWwIOzt0lvtVUYF3': 'Specyficzne -B        '}
4JbHugn35G7AGXxes0Oftt 4yNluGAiPbYXLwlA9KspbG	The Red Army Choir    	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '4JbHugn35G7AGXxes0Oftt': 'Zjebane src           '}
0g6fQStwwSSxScrgrsvIF8 6vytZ677lz4LzCrUDcDokM	Blu Cantrell          	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 7kzqfJaU9Ci3UaIQvWtwPm	Kalwi & Remi          	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 6XpaIBNiVzIetEPCWDvAFP	Whitney Houston       	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 2gBjLmx6zQnFGQJCAQpRgw	Nelly                 	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 1KCSPY1glIKqW2TotWuXOR	P!nk                  	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 47BNWfpngeFHYvBlPPyraM	Kate Ryan             	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 2siHvYaxjaW5rKVRiIrMYH	Anastacia             	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 4VH2QabEORUUhN1F1cYQ6N	Reamonn               	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 5pKCCKE2ajJHZ9KAiaK11H	Rihanna               	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
